SiteName,WatershedName,Trim Length
AEM001-Mill_Treatment,Basinwide,5
AEM001-NewsomeCreek_Control,Basinwide,20
AEM001-RedRiverMeanders_Control,Basinwide,40
AEM001-SilverSideChannel_Treatment,Basinwide,10
AEM001-TwispFloodplain_Control,Basinwide,10
AEM001-TwispFloodplain_Control,Basinwide,10
AEM001-UpperWhitePine_Control,Basinwide,0.01
AEM001-UpperWhitePine_Control,Basinwide,0.25
AEM001-UpperWhitePine_Treatment,Basinwide,10
AEM001-Wujek_Treatment,Basinwide,40
ASW00001-CC-F2 P1BR,Asotin,5
ASW00001-CC-F3 P1BR,Asotin,5
ASW00001-CC-F3 P2BR,Asotin,5
ASW00001-CC-F4 P3BR,Asotin,5
ASW00001-NF-F1 P1BR,Asotin,5
ASW00001-NF-F1 P2BR,Asotin,5
ASW00001-NF-F2 P1,Asotin,5
ASW00001-NF-F2 P2,Asotin,5
ASW00001-NF-F4 P1BR,Asotin,5
ASW00001-SF-F2 P2BR,Asotin,5
ASW00001-SF-F3 P2BR,Asotin,5
ASW00001-SF-F3 P3BR,Asotin,5
ASW00001-SF-F4 P1,Asotin,5
ASW00001-SF-F4 P2,Asotin,5
ASW00001-SF-F5 P3BR,Asotin,5
CBW05583-003113,Methow,4
CBW05583-009049,Methow,10
CBW05583-009753,Methow,10
CBW05583-010185,Methow,10
CBW05583-011545,Methow,10
CBW05583-012569,Methow,10
CBW05583-014169,Methow,10
CBW05583-015305,Methow,10
CBW05583-015305,Methow,10
CBW05583-015641,Methow,10
CBW05583-019199,Umatilla,10
CBW05583-019295,Lemhi,1
CBW05583-020761,Methow,10
CBW05583-021738,JohnDay,3
CBW05583-029135,Lemhi,5
CBW05583-030553,Methow,10
CBW05583-035097,Methow,10
CBW05583-036697,Methow,10
CBW05583-038111,Lemhi,5
CBW05583-040217,Methow,10
CBW05583-040905,Methow,10
CBW05583-041497,Methow,10
CBW05583-044313,Methow,10
CBW05583-044489,Methow,10
CBW05583-055753,Methow,10
CBW05583-061099,Entiat,10
CBW05583-069291,Entiat,10
CBW05583-073131,Entiat,10
CBW05583-081177,Methow,10
CBW05583-087698,South Fork Salmon,5
CBW05583-113177,Methow,10
CBW05583-128719,Lemhi,5
CBW05583-132779,Entiat,10
CBW05583-135705,Methow,10
CBW05583-167282,JohnDay,0.5
CBW05583-170443,Tucannon,5
CBW05583-183833,Methow,10
CBW05583-186002,South Fork Salmon,10
CBW05583-189385,Methow,10
CBW05583-206314,Upper Grande Ronde,5
CBW05583-232818,JohnDay,1
CBW05583-234009,Methow,10
CBW05583-235154,SouthForkSalmon,5
CBW05583-239083,Entiat,10
CBW05583-249113,Methow,10
CBW05583-264090,Umatilla,10
CBW05583-303049,Methow,10
CBW05583-312265,Methow,10
CBW05583-330923,Wenatchee,5
CBW05583-347417,Methow,10
CBW05583-354987,Entiat,10
CBW05583-361417,Methow,10
CBW05583-371371,Entiat,0.25
CBW05583-383945,Methow,10
CBW05583-383986,JohnDay,1
CBW05583-384114,John Day,0.5
CBW05583-385561,Methow,10
CBW05583-393497,Methow,10
CBW05583-394703,Lemhi,10
CBW05583-396971,Entiat,10
CBW05583-398617,Methow,10
CBW05583-401362,SouthForkSalmon,5
CBW05583-405674,Upper Grande Ronde,5
CBW05583-409033,Methow,10
CBW05583-418255,Lemhi,15
CBW05583-420523,Entiat,10
CBW05583-433579,Entiat,10
CBW05583-466959,SouthForkSalmon,5
CBW05583-503467,Entiat,10
CBW05583-513049,Methow,4
CBW05583-517594,Basinwide,5
ENT00001-1BC11,Entiat,10
ENT00001-1BC14,Entiat,10
ENT00001-1BC15,Entiat,10
ENT00001-1BC2,Entiat,10
ENT00001-1BC3,Entiat,10
ENT00001-1BC4,Entiat,30
ENT00001-1BC5,Entiat,10
ENT00001-1BC6,Entiat,10
ENT00001-1BC7,Entiat,10
ENT00001-1D1,Entiat,10
ENT00001-1D2,Entiat,10
ENT00001-1D4,Entiat,10
ENT00001-1D5,Entiat,10
ENT00001-1D7,Entiat,10
ENT00001-1D8,Entiat,10
ENT00001-1E1,Entiat,10
ENT00001-1E2,Entiat,10
ENT00001-1E3,Entiat,10
ENT00001-1F1,Entiat,10
ENT00001-1F13,Entiat,10
ENT00001-1F5,Entiat,10
ENT00001-1F8,Entiat,10
ENT00001-1F9,Entiat,10
ENT00001-1G16,Entiat,10
ENT00001-1G19,Entiat,10
ENT00001-1G2,Entiat,10
ENT00001-2A1,Entiat,10
ENT00001-2A5,Entiat,10
ENT00001-2A6,Entiat,10
ENT00001-2A8,Entiat,5
ENT00001-2A9,Entiat,10
ENT00001-2C10,Entiat,10
ENT00001-2C13,Entiat,10
ENT00001-2C14,Entiat,5
ENT00001-2C15,Entiat,10
ENT00001-2C4,Entiat,10
ENT00001-2C6,Entiat,10
ENT00001-3A2,Entiat,10
ENT00001-3A3,Entiat,10
ENT00001-3A5,Entiat,10
ENT00001-3A6,Entiat,10
ENT00001-3A8,Entiat,10
ENT00001-3C1,Entiat,10
ENT00001-3C2,Entiat,10
ENT00001-3D1,Entiat,10
ENT00001-3D5,Entiat,10
ENT00001-3F1,Entiat,10
ENT00001-3F2,Entiat,10
ENT00001-Mad14,Entiat,10
ENT00001-Mad23,Entiat,5
ENT00001-Mad4,Entiat,10
ENT00001-Sanray,Entiat,10
ENT00001-Wilson,Entiat,10
ENT201301-3D Side,Entiat,10
ENT201301-Harrison Side,Entiat,10
ENT201301-Tyee Side,Entiat,10
JDW00001-Meyers Camp 2,John Day,10
LEM00002-00001B,Lemhi,10
LWIN0001-000027,Wenatchee,6
LWIN0001-000041,Wenatchee,4
MET00002-HancockSprings,Methow,10
MET00002-TR3_1,Methow,10
MET00002-TR4_2,Methow,10
MET201301-Stansbury Side,Methow,10
MET201401-Twisp Floodplain,Methow,5
MNM00001-000009,Minam,5
MNM00001-000445,Minam,5
MNM00001-M53247,Minam,5
Stky-P2-Ex3,Upper Grande Ronde,5
WAW05541-006677,Entiat,10
WC503432-000032,Wenatchee,5
WC503432-000038,Wenatchee,10
WC503432-000039,Wenatchee,10
YFI00001-000595,Yankee Fork,5
YFI00001-000835,Yankee Fork,5
YFI00001-001709,Yankee Fork,5
WC503432-000039,Wenatchee,10
WENMASTER-000427,Wenatchee,10
WC503432-000001,Wenatchee,10
WC503432-000038,Wenatchee,10
WENMASTER-000179,Wenatchee,10
WENMASTER-000180,Wenatchee,10
WENMASTER-000263,Wenatchee,10
CBW05583-461995,Wenatchee,10
WC503432-000166,Wenatchee,10
WC503432-000039,Wenatchee,20
CBW05583-043691,Entiat,10
CBW05583-057139,Tucannon,10
CBW05583-072139,Tucannon,5
CBW05583-169855,Tucannon,10
CBW05583-413951,Tucannon,5
CBW05583-481459,Tucannon,10
CBW05583-522111,Tucannon,10
CBW05583-208767,Tucannon,10
CBW05583-214475,Tucannon,5
MNM00001-000096,Minam,10
CBW05583-344746,Upper Grande Ronde,10
PHAMS-McCoyMdws_Reach3_CHaMP,UpperGrandeRonde,5
